,check,status,evidence
0,SEC cross-check 2023 revenue,PASS,"10-K statement cross-check, USD millions"
1,SEC cross-check 2023 ebit,PASS,"10-K statement cross-check, USD millions"
2,SEC cross-check 2023 net_income,PASS,"10-K statement cross-check, USD millions"
3,SEC cross-check 2023 assets,PASS,"10-K statement cross-check, USD millions"
4,SEC cross-check 2023 equity,PASS,"10-K statement cross-check, USD millions"
5,SEC cross-check 2023 cfo,PASS,"10-K statement cross-check, USD millions"
6,SEC cross-check 2023 capex,PASS,"10-K statement cross-check, USD millions"
7,SEC cross-check 2024 revenue,PASS,"10-K statement cross-check, USD millions"
8,SEC cross-check 2024 ebit,PASS,"10-K statement cross-check, USD millions"
9,SEC cross-check 2024 net_income,PASS,"10-K statement cross-check, USD millions"
10,SEC cross-check 2024 assets,PASS,"10-K statement cross-check, USD millions"
11,SEC cross-check 2024 equity,PASS,"10-K statement cross-check, USD millions"
12,SEC cross-check 2024 cfo,PASS,"10-K statement cross-check, USD millions"
13,SEC cross-check 2024 capex,PASS,"10-K statement cross-check, USD millions"
14,SEC cross-check 2025 revenue,PASS,"10-K statement cross-check, USD millions"
15,SEC cross-check 2025 ebit,PASS,"10-K statement cross-check, USD millions"
16,SEC cross-check 2025 net_income,PASS,"10-K statement cross-check, USD millions"
17,SEC cross-check 2025 assets,PASS,"10-K statement cross-check, USD millions"
18,SEC cross-check 2025 equity,PASS,"10-K statement cross-check, USD millions"
19,SEC cross-check 2025 cfo,PASS,"10-K statement cross-check, USD millions"
20,SEC cross-check 2025 capex,PASS,"10-K statement cross-check, USD millions"
21,Inline filing/API agreement 2023 revenue,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
22,Inline filing/API agreement 2023 cost_of_revenue,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
23,Inline filing/API agreement 2023 gross_profit,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
24,Inline filing/API agreement 2023 rd,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
25,Inline filing/API agreement 2023 sm,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
26,Inline filing/API agreement 2023 ga,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
27,Inline filing/API agreement 2023 opex,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
28,Inline filing/API agreement 2023 ebit,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
29,Inline filing/API agreement 2023 interest_income,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
30,Inline filing/API agreement 2023 pretax,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
31,Inline filing/API agreement 2023 tax,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
32,Inline filing/API agreement 2023 net_income,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
33,Inline filing/API agreement 2023 da,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
